date,hour,depth,value,variable
2020-09-24,NA,6.0,16.265978472222223,temperature
2020-09-24,NA,7.0,13.140278402777778,temperature
2020-09-24,NA,8.0,11.592919791666667,temperature
2020-09-25,NA,1.0,18.69889715277778,temperature
2020-09-25,NA,2.0,18.69993138888889,temperature
2020-09-25,NA,3.0,18.686251875,temperature
2020-09-25,NA,4.0,18.598685833333334,temperature
2020-09-25,NA,5.0,18.436596458333334,temperature
2020-09-25,NA,6.0,16.307962777777778,temperature
2020-09-25,NA,7.0,13.179221041666667,temperature
2020-09-25,NA,8.0,11.585391736111111,temperature
2020-09-26,NA,1.0,19.519458958333335,temperature
2020-09-26,NA,2.0,19.167211319444444,temperature
2020-09-26,NA,3.0,18.709216736111113,temperature
2020-09-26,NA,4.0,18.45850486111111,temperature
2020-09-26,NA,5.0,18.262976180555555,temperature
2020-09-26,NA,6.0,16.401606597222223,temperature
2020-09-26,NA,7.0,13.18127625,temperature
2020-09-26,NA,8.0,11.562802638888888,temperature
2020-09-27,NA,1.0,19.46325048611111,temperature
2020-09-27,NA,2.0,19.112346111111112,temperature
2020-09-27,NA,3.0,18.70456451388889,temperature
2020-09-27,NA,4.0,18.494655208333334,temperature
2020-09-27,NA,5.0,18.199706458333335,temperature
2020-09-27,NA,6.0,16.43314048611111,temperature
2020-09-27,NA,7.0,13.152798055555555,temperature
2020-09-27,NA,8.0,11.623151111111111,temperature
2020-09-28,NA,1.0,19.56017888888889,temperature
2020-09-28,NA,2.0,19.231958958333333,temperature
2020-09-28,NA,3.0,18.77668048611111,temperature
2020-09-28,NA,4.0,18.50962888888889,temperature
2020-09-28,NA,5.0,18.219617291666665,temperature
2020-09-28,NA,6.0,16.424273888888887,temperature
2020-09-28,NA,7.0,13.246053055555556,temperature
2020-09-28,NA,8.0,11.635340277777777,temperature
2020-09-29,NA,1.0,19.053874166666667,temperature
2020-09-29,NA,2.0,19.037037291666667,temperature
2020-09-29,NA,3.0,18.98578722222222,temperature
2020-09-29,NA,4.0,18.84311013888889,temperature
2020-09-29,NA,5.0,18.680910416666666,temperature
2020-09-29,NA,6.0,16.915715069444445,temperature
2020-09-29,NA,7.0,13.288555972222223,temperature
2020-09-29,NA,8.0,11.643014375,temperature
2020-09-30,NA,1.0,18.69565513888889,temperature
2020-09-30,NA,2.0,18.491450277777776,temperature
2020-09-30,NA,3.0,18.348370902777777,temperature
2020-09-30,NA,4.0,18.19428715277778,temperature
2020-09-30,NA,5.0,18.062168194444443,temperature
2020-09-30,NA,6.0,16.901494027777776,temperature
2020-09-30,NA,7.0,13.397110277777777,temperature
2020-09-30,NA,8.0,11.644295277777777,temperature
2020-10-01,NA,1.0,18.865969695652176,temperature
2020-10-01,NA,2.0,18.804296985507246,temperature
2020-10-01,NA,3.0,18.628610681159422,temperature
2020-10-01,NA,4.0,18.053664057971016,temperature
2020-10-01,NA,5.0,17.834267449275362,temperature
2020-10-01,NA,6.0,16.753285927536233,temperature
2020-10-01,NA,7.0,13.385662130434783,temperature
